FROM_TIPLOC,TO_TIPLOC,DISTANCE,ELECTRIC,PASSENGER_USE,LINE_CODE
ABCWM,FERNHIL,483,N,Y,U&D
ABDARE,CMBH,2454,N,Y,U&D
ABDO,BISLND,4345,N,Y,OO
ABDO,DALGETY,4486,N,Y,OO
ABDVY,PENHELG,1488,N,Y,U&D
ABER,CRPHLY,966,N,Y,OO
ABER,ERGNCHP,1026,N,Y,UML
ABGLELE,CBAY,9977,N,Y,ML
ABGLELE,RHYL,6856,N,Y,ML
ABHLJN,CRGNTYJ,1760,O,Y,OO
ABHLJN,EDIN815,345,O,Y,SL
ABINGTN,BEATCKS,12995,O,Y,OO
ABINGTN,SYMNGTN,13518,O,Y,OO
ABRC187,ABRCYNS,200,N,Y,U&D
ABRCYNS,STOMSTN,1208,N,Y,OO
ABRD75,ABRDEEN,321,N,Y,ML
ABRD77,ABRDFJN,885,N,Y,UM
ABRDCH,ABRDEEN,402,?,N,GL
ABRDEEN,ABRD77,321,N,Y,ML
ABRDEEN,ABRDCH,402,?,N,GL2
ABRDEEN,ABRDFJN,1206,N,Y,UML
ABRDEEN,ABRDNS,800,?,N,OO
ABRDEEN,ABRDPDK,25,?,N,OO
ABRDEEN,KITTYBR,2413,N,Y,ML
ABRDFDS,ABRD27,50,?,N,
ABRDFGL,ABRDEEN,504,?,N,OO
ABRDFJN,ABRD27,503,?,N,FRYH
ABRDFJN,ABRD75,885,N,Y,DM
ABRDFJN,ABRDCH,804,?,N,
ABRDFJN,CRGICCE,142,?,N,OO
ABRDFJN,CRGISTH,1308,N,Y,OO
ABRDFUS,ABRDFGL,252,?,N,OO
ABRDFUS,ABRDFJN,450,?,N,OO
ABRDWAT,ABRDWGB,20,?,N,OO
ABRDWAT,KITTYGF,45,?,N,DG
ABRE,PENYCHN,2554,N,Y,U&D
ABRGS38,PONTRLS,11099,N,Y,UM
ABRGVNY,ABRGS38,7830,N,Y,UM
ABRGVNY,LTTLMLJ,12411,N,Y,OO
ABRYRRL,ABRYSTH,351,N,Y,U&D
ABRYSTH,ABRYRRL,351,N,?,SDG
ABTH,ABTHLAF,50,?,N,
ABTH,ABTHRCP,0,?,N,EL
ABTH,ABTHRFH,0,?,N,WL
ABTH,LLNWTMR,6118,N,Y,VOG
ABTH,RHOOSE,2435,N,Y,VOG
ABTH433,BRGEFGF,13000,N,Y,ML
ABTH440,LLNWTMR,6337,N,Y,ML
ABTHPS,ABTHPST,120,?,N,[1]
ABTHPS,ABTHPST,120,?,N,[2]
ABTHPST,ABTHRFH,805,?,N,SUG
ABTHRCP,ABTHRFH,0,?,N,S2
ABTHRCP,ABTHRFH,0,?,N,S3
ABTHRFH,ABTHPST,805,?,N,SDG
ABTHRFH,ABTHRCP,0,?,N,S1
ABTHTCR,ABTHLAF,50,?,N,
ABTHWCC,ABTHLAF,20,?,N,[1]
ABTSWDJ,ASHCHRC,16512,N,Y,DM
ABTSWDJ,NRTNJN,1240,N,Y,DB
ABTSWDJ,WORCPWY,500,N,Y,UM
ABWD,ABWDARJ,1500,3,Y,DM
ABWD,ABWDXR,0,?,?,OO
ABWD,ABWDXRS,0,?,?,XR
ABWD,PLMS,2454,3,Y,UM
ABWDARJ,ABWD,1500,3,Y,UM
ABWDARJ,BELVEDR,754,3,Y,DM
ABWDER,ABWDARJ,750,?,N,ERD
ABWDXR,PLMSEJ,1057,O,Y,XRW
ABWDXRS,ABWDER,650,?,N,ERD
ABWDXRS,ABWDXR,0,?,?,XR
ACBG,HARTFDJ,2876,O,Y,SL
ACBG,HARTFDJ,2876,O,Y,FL
ACBG,WEAVERJ,3278,O,Y,FL
ACGJN,RUNCRNE,5089,O,Y,UH
ACGJN,WEAVERJ,9313,O,Y,FL
ACGJN,WRGTNBQ,2957,O,Y,FL
ACGJN,WRGTWOJ,1367,O,Y,OL
ACHANLT,ACHNSHN,10461,N,Y,OO
ACHHBLC,ACHHSHL,2776,N,Y,ML
ACHILCK,BNKJN,12069,N,Y,OO
ACHILCK,MAUCHLN,7202,N,Y,OO
ACHNGRY,COBB713,5475,O,Y,ML
ACHNGRY,CRSTRSE,7178,O,Y,OO
ACHNSCE,ACHNSHN,6,?,N,OO
ACHNSHN,ACHHSHL,20117,N,Y,OO
ACKLNGT,CHVNNC,2716,O,Y,OO
ACKLNGT,WNGTJN,8401,O,Y,OO
ACOCKSG,OLTON,1549,N,Y,OO
ACOCKSG,TYSLUDJ,906,N,Y,OO
ACRNGTN,CHOS,965,N,Y,UEL
ACRNGTN,HUNCOAT,2756,N,Y,DEL
ACTCWHF,ACWLJN,643,N,N,OO
ACTCWHF,NEASJN,2204,N,N,OO
ACTNCTL,ACWLJN,1689,O,Y,OO
ACTNCTL,SACTON,933,3,Y,OO
ACTNLRG,WLSDNN7,804,?,N,OO
ACTNLRS,WLSDNN7,805,?,N,OO
ACTOGBR,ACTONTC,300,?,N,[1]
ACTOGBR,ACTONTC,300,?,N,[2]
ACTOGBR,ACTONTC,300,?,N,[3]
ACTONML,ACTOGBR,99,?,N,OO
ACTONML,ACTONW,1384,N,N,GL
ACTONML,ACTONW,1384,O,Y,RL
ACTONML,ACTONW,1384,O,Y,ML
ACTONML,ACWLJN,1227,N,Y,OO
ACTONML,FRIARSJ,1047,O,Y,RL
ACTONML,LDBRKJ,3782,O,Y,ML
ACTONTC,ACTOGBR,300,?,N,GL
ACTONTC,ACTONFY,120,?,N,[1]
ACTONTC,ACTONW,985,?,N,GL
ACTONW,ACTONML,1384,N,N,GL
ACTONW,ACTONML,1384,O,Y,ML
ACTONW,ACTONML,1384,O,Y,RL
ACTONW,ACTONTC,985,?,N,GL
ACTONW,EALINGB,917,O,Y,ML
ACTONW,EALINGB,917,O,Y,RL
ACTRNED,FDRTYIB,3701,N,Y,ML
ACTRNED,GARVE,11607,N,Y,ML
ACWL105,ACTNCTL,883,3,Y,OO
ACWL149,ACWLJN,101,?,N,DSW
ACWL150,WLSDSWS,785,?,N,USW
ACWLJN,ACTCWHF,643,N,N,OO
ACWLJN,ACTNCTL,1689,O,Y,OO 
ACWLJN,ACTONML,1227,N,Y,OO
ACWLJN,ACWL150,101,?,N,USW
ACWLJN,WLSDHLJ,1287,O,Y,OO
ADERLYP,GRJT,3078,O,Y,DST
ADERLYP,STECHFD,3038,O,Y,UM
ADIEWEL,BREICH,4225,N,Y,OO
ADIEWEL,WCALDER,2776,N,Y,OO
ADISHAM,ALSHAM,1730,3,Y,OO
ADISHAM,BEKSBRN,4869,3,Y,OO
ADLC,POYNTON,3541,O,Y,ML
ADLC,PSBY,3119,O,Y,ML
ADLESTJ,ADLESTN,1544,3,Y,OO
ADLESTJ,BYFLETJ,1464,3,Y,OO
ADLESTJ,WEYBDGE,1247,3,Y,OO
ADLESTN,ADLESTJ,1544,3,Y,OO
ADLESTN,CHTSEY,2286,3,Y,OO
ADNL,BLRD,3238,O,Y,ML
ADNL,CHORLEY,4928,O,Y,ML
ADSWDRD,CHDH,1288,O,Y,ML
ADSWDRD,STKPE1,1408,O,Y,SL
ADSWDRD,STKPE1,1408,O,Y,FL
ADWICK,BTLYSY,3722,O,Y,OO
ADWICK,CRCRFTJ,342,O,Y,ML
ADWICKJ,CRCRFTJ,342,O,Y,ML
ADWICKJ,SELMSAL,6096,O,Y,OO
ADWICKJ,SKLWJN,1389,N,N,Branch
AGHTNPH,ORMSKRK,2595,3,Y,DO
AGHTNPH,TOWNGRN,1589,3,Y,UO
AIGBURT,CRSNGTN,1167,3,Y,ML
AIGBURT,STMCHLS,2212,3,Y,ML
AINSDAL,FRSHFLD,4606,3,Y,USP
AINSDAL,HILLSID,2393,3,Y,DSP
AINT206,OLDROAN,1368,3,Y,DO
AINTREE,AINT206,100,3,Y,DO
AINTREE,ORELPKH,1488,3,Y,UO
AIRBLES,HAUG419,1327,O,Y,ML
AIRBLES,MOTHRWL,1287,O,Y,OO
AIRD754,COATDYK,604,O,Y,TMP
AIRDCS,AIRDRIE,402,?,N,OO
AIRDRIE,AIRD754,804,O,Y,DM
AIRDRIE,DRMGLCH,804,O,Y,OO
AIRP,NWCSRC,1000,?,?,[1]
AISGILL,GARSDLE,4909,N,Y,OO
AISGILL,KSTP,11024,N,Y,OO
AISHXO,IVYBDGE,6236,N,Y,OO
AISHXO,TOTNES,12291,N,Y,OO
ALBNYPK,BEXLEY,1630,3,Y,OO
ALBNYPK,SIDCUP,1508,3,Y,OO
ALBRGHT,CODSALL,4768,N,Y,OO
ALBRGHT,COSFORD,2232,N,Y,OO
ALDB337,MANRPK,609,O,Y,IE
ALDBUCS,ALDB337,623,O,N,IE
ALDEDGE,ALDEDNS,0,?,N,N
ALDEDGE,ALDEUPS,0,?,N,S
ALDEDGE,CHELFD,4908,O,Y,UW
ALDEDGE,WLMSL,2615,O,Y,DW
ALDEDNS,ALDEDGE,0,?,N,S
ALDEUPS,ALDEDGE,0,?,N,N
ALDGEST,WCHAPEL,560,?,?,WB
ALDGEST,WCHAPEL,620,?,?,EB
ALDMSTN,MIDGHAM,3098,N,Y,DW
ALDMSTN,THEA834,3805,?,?,UW
ALDR371,ALDRSJN,2013,3,Y,OO
ALDR378,FARNHAM,4598,3,Y,OO
ALDRSHT,ALDR371,400,3,Y,OO
ALDRSHT,ALDR378,350,3,Y,OO
ALDRSJN,ALDRSHT,2413,3,Y,OO
ALDRSJN,ALDRSJS,845,3,Y,OO
ALDRSJN,ASHVALE,1649,3,Y,OO
ALDRSJS,ALDRSJN,845,3,Y,OO
ALDRSJS,ASHH,1271,3,Y,OO
ALDRSJS,NTHCAMP,1951,N,Y,OO
ALDTON,HOVE,788,3,Y,UB
ALDTON,PSLDAWH,1590,3,Y,OO
ALDW109,ROTHPAJ,1368,N,Y,D TMP
ALDW738,ALDWRKJ,1146,N,Y,
ALDWGBF,ALDWNWS,54,?,?,[1]
ALDWRKJ,ALDW109,1146,N,Y,
ALDWRKJ,ALDWGBF,0,N,N,
ALDWRKJ,ALDWRML,805,?,N,OO
ALDWRKJ,MBRONJN,4143,N,Y,UM
ALDWRKJ,SWINTN,3299,N,Y,DM
ALDWRKJ,THBGJN,945,N,Y,OO
ALERTN,ALERTN4,180,O,Y,SL
ALERTN,ALERTNJ,221,O,Y,SL
ALERTN,ALERTNJ,221,O,Y,FL
ALERTN,WALERTN,1670,O,Y,FL
ALERTN4,WALERTN,1490,O,Y,SL
ALERTNJ,ALERTN,221,O,Y,SL
ALERTNJ,ALERTN,221,O,Y,FL
ALERTNJ,ALERTNS,155,O,N,ARR
ALERTNJ,GRSTNJ,845,?,N,DG
ALERTNJ,HUNTXWJ,744,O,Y,ML
ALERTNJ,SPEKEJ,1489,O,Y,SL
ALERTNJ,SPEKEJ,1489,O,Y,FL
ALERTNS,ALERTNJ,155,O,N,DEP
ALEXNDP,BNDSGRN,382,?,N,OO
ALEXNDP,BOWESPK,1186,O,Y,DH
ALEXNDP,HRNS448,200,O,Y,SL2
ALEXNDP,HRNSY,1488,O,Y,FL
ALEXNDP,HRNSY,1488,O,Y,SL1
ALEXNDP,NEWSGAT,2353,O,Y,FL
ALEXNDP,NEWSGAT,2353,O,Y,SL
ALFRETN,BWELLSJ,1206,N,Y,ML
ALFRETN,IRNVLJN,3742,N,Y,ML
ALLENSW,ALLEURL,1005,N,Y,OO
ALLENSW,EGLSCLF,1106,N,Y,OO
ALLEURL,ALLENSW,1005,N,Y,OO
ALLEURL,TSDARPR,3138,N,Y,OO
ALLGARC,ALLGREV,342,?,N,OO
ALLGREV,AYLESFD,2595,3,Y,UM
ALLOALP,ALLOA,1428,N,N,OO
ALNESS,EVNTNIB,4827,N,Y,OO
ALNESS,IVRGRD,4168,N,Y,OO
ALNGEJN,ALNGJN,724,N,Y,OO
ALNGEJN,ALNGNJN,503,N,Y,OO
ALNGEJN,GTHMNBJ,3742,N,Y,SL
ALNGJN,ALNGEJN,724,N,Y,OO
ALNGJN,ALNGNJN,684,N,Y,OO
ALNGJN,BOTESFD,6396,N,Y,OO
ALNGNJN,ALNGEJN,503,N,Y,OO
ALNGNJN,ALNGJN,684,N,Y,OO
ALNGNJN,ANCASTR,13198,N,Y,OO
ALNMILL,ALNMOTH,7261,O,Y,ML
ALNMILL,CHHL,10805,O,Y,OO
ALNMOTH,ALNMILL,7261,O,Y,ML
ALNMOTH,WNGTJN,1570,O,Y,ML
ALNMUES,WNGTJN,158,?,?,[1]
ALRESFD,GTBNTLY,4827,O,Y,OO
ALRESFD,WIVENHO,3219,O,Y,OO
ALRWAS,LCHTTVJ,6317,N,Y,OO
ALRWAS,WICH78,1529,N,Y,WSL
ALSAGER,ALSAUDG,1468,O,Y,ML
ALSAGER,BTHLYJN,3903,O,Y,ML
ALSAUDG,ALSAGER,1468,O,Y,ML
ALSAUDG,KIDSGRV,2213,O,Y,ML
ALSHAM,ADISHAM,1730,3,Y,OO
ALSHAM,SNWDNAN,1488,3,Y,OO
ALTFTJN,METHLYJ,2353,?,Y,OO
ALTFTJN,NORMNTN,1389,?,Y,OO
ALTFTJN,NORMPW,804,?,N,OO
ALTFTJN,WHWDJN,2676,N,Y,OO
ALTHORN,BRNMONC,4827,O,Y,U&DS
ALTNBRC,ALTNCCE,50,?,N,
ALTON,HLBNOIL,2755,3,Y,OO
ALTPE,GUNHOSJ,1630,N,Y,OO
ALTPE,KEADBYC,1670,N,Y,OO
ALTRNHM,DENS19,281,N,Y,OO
ALTRNHM,HALE,945,N,Y,OO
ALTRNHM,NAVGTNR,1005,?,?,Metrolink
ALTRNHM,NAVGTNR,1005,N,Y,ML
ALVCHRC,BGRN,2671,O,Y,OO
ALVCHRC,WTSLNJN,2740,O,Y,DR
ALVES,ELGINSB,8594,N,Y,OO
ALVES,FORRESL,10058,N,Y,OO
ALXANDR,BALLOCH,1899,O,Y,OO
ALXNJTC,ALXNLHS,50,N,Y,
ALXNJTC,ALXNUDG,2,?,N,UDG
ALXNJTC,NWPTDKS,1000,?,N,OO
ALXPD,BNHL,1509,O,Y,OO
ALXPD,DUKEST,543,O,Y,OO
AMBERGJ,AMBERGT,745,N,Y,OO
AMBERGJ,BROHLME,1870,N,Y,ML
AMBERGJ,BROHLME,1870,N,Y,UBL
AMBERGJ,CLAYXSJ,16000,N,Y,ML
AMERMWD,AMERSHM,2253,?,Y,OO
AMERMWD,GTMSNDN,6437,N,Y,OO
AMERSHM,AMERMWD,2253,?,Y,OO
AMERSHM,CHLFNAL,3283,?,Y,OO
AMLY,ARUNDEL,5753,3,Y,OO
AMLY,PULBRO,7684,3,Y,OO
AMMANFD,PNTYFYN,1871,N,Y,OO
AMNG294,TMWTHLL,1378,O,Y,SL
AMNG459,NNTNASJ,16990,O,Y,FL
AMNG462,LCHTTVL,11255,O,Y,FL
AMNG485,AMNGTNJ,50,O,Y,SL
AMNG487,AMNGTNJ,50,O,Y,FL
AMNG488,AMNGTNJ,50,O,Y,SL
AMNG490,AMNGTNJ,50,O,Y,FL
AMNGTNJ,AMNG294,50,O,Y,SL
AMNGTNJ,AMNG459,50,O,Y,FL
AMNGTNJ,AMNG462,50,O,Y,DTVF
AMNGTNJ,PWTH,3329,O,Y,SL
AMPTNLS,BEDFDS,10501,O,Y,FL
AMPTNLS,ELSTOW,8088,O,Y,SL
AMPTNLS,FLITWCJ,2535,O,Y,FL
AMPTNLS,FLITWCJ,2535,O,Y,SL
AMSTDAM,BRUXMID,200000,?,Y,
ANAT,CORPCPM,805,?,N,OO
ANAT,LCEILOB,3218,N,Y,OO
ANCASTR,ALNGNJN,13198,N,Y,OO
ANCASTR,RAUCEBY,6155,N,Y,OO
ANDO202,GRATELY,9937,N,Y,OO
ANDOLSB,ANDOKMR,50,N,N,OO
ANDOLSB,ANDOVER,50,N,N,OO
ANDOLSB,LUDGMOD,50,N,N,LB
ANDOVER,ANDO202,322,N,Y,OO
ANDOVER,WHTCHRH,11486,N,Y,OO
ANDRSTN,EXHIBTC,824,O,Y,OO
ANDRSTN,GLGCLL,663,O,Y,OO
ANERLEY,NORWDJ,1770,3,Y,FL
ANERLEY,NORWDJ,1770,3,Y,SL
ANERLEY,PENEW,643,3,Y,SL
ANERLEY,PENEW,643,3,Y,FL
ANGELRD,NMBRLPK,1030,O,Y,RV
ANGELRD,NMBRLPK,1030,O,Y,UC
ANGELRD,PNDRSEN,3444,O,Y,DC
ANGMGF,ANGMRNG,302,3,Y,OO
ANGMGF,ARUNDLJ,5266,3,Y,OO
ANGMRNG,ANGMGF,302,3,Y,OO
ANGMRNG,GORNGBS,3958,3,Y,OO
ANGRFHH,ANGRTAR,100,?,N,OO
ANGRFHH,BRONLPT,5,?,N,OO
ANGRMAR,ANGRSTB,60,?,N,OO
ANGRNOR,ANGRMAR,50,?,?,OO
ANGRSTB,ANGRSTW,0,?,?,
ANGRSTJ,ANGRSTB,1609,?,N,OO
ANGRSTJ,BLKHTH,2636,3,Y,UNK
ANGRSTJ,CRLNJN,1831,3,Y,DNK
ANGRSTW,ANGRFHH,420,?,N,OO
ANNAN,ANNADRS,50,?,N,
ANNAN,DUMFRSJ,24420,N,Y,ML
ANNAN,ERIGCRO,4342,N,Y,OO
ANNBANK,AYRR335,4647,N,N,OO
ANNBANK,KILCGBF,13783,N,N,OO
ANNBANK,MAUCHLN,10621,?,N,OO
ANSL,DAWSHLM,885,O,Y,OO
ANSL,HYNDLNJ,483,O,Y,US
ANSL,WESTRTN,2413,O,Y,DS
APBY,APBYNE,10,?,N,N
APBY,NWBIKTH,7645,N,Y,OO
APBY,ORMMSID,3983,N,Y,OO
APBYNE,APBY,241,?,N,S
APDR,HMST,4808,N,Y,OO
APDR,LYDDTWN,11405,N,N,OO
APERLYB,APERLYJ,4305,O,Y,ML
APERLYB,SHPYDJN,1468,O,Y,OO
APERLYJ,APERLYB,4305,O,Y,ML
APERLYJ,KRKSLFR,4670,O,Y,ML
APLHRSJ,SKLWJN,4185,N,N,OO
APLHRSJ,TMSHJN,382,N,Y,
APLYBDG,GATHRST,2896,N,Y,ML
APLYBDG,PARBOLD,3600,N,Y,ML
APPLEFD,APPLEFX,966,N,Y,OO
APPLEFD,CULHAM,1630,N,Y,OO
APPLEFS,APPLFHH,50,?,N,Arr
APPLEFX,APPLEFD,966,N,Y,OO
APPLEFX,APPLFHH,813,?,N,Dep
APPLEFX,DIDCTNJ,966,N,Y,OO
APPLFHH,APPLEGB,111,?,N,OO
APSLEY,HEMLHMP,2273,O,Y,FL
APSLEY,HEMLHMP,2273,O,Y,SL
APSLEY,KLGL,3459,O,Y,FL
APSLEY,KLGL,3459,O,Y,SL
ARBRCVR,ARBROTH,408,N,Y,OO
ARBRCVR,ARBRUNS,273,?,N,OO
ARBRCVR,INVKLOR,9388,N,Y,ML
ARBROTH,ARBRCVR,408,N,Y,OO
ARBROTH,CNST,9816,N,Y,OO
ARBRURS,ARBRUSS,172,?,N,OO
ARBRUSS,ARBROTH,205,?,N,OO
ARCHRAT,ARCHAME,40,?,N,OO
ARCHRCE,ARCHAME,0,?,N,OO
ARCQGF,ARCQGBF,400,N,N,OO
ARCQGF,HTNRIBL,2675,N,Y,
ARDEGH,CLCHSTR,7130,O,Y,OO
ARDEGH,MANNGTR,5392,O,Y,OO
ARDGAY,ARDGAYC,50,?,N,
ARDLUI,ARCHRAT,12835,N,Y,OO
ARDLUI,ARDLUCE,10,?,N,SDG
ARDNGLY,CPYHLDJ,2776,?,N,OO
ARDRSDS,ARDRSSB,804,O,Y,OO
ARDRSSB,SLCT,1267,O,Y,OO
ARDRSSB,WKILBRD,7483,O,Y,UDL
ARDRSTN,ARDRSDS,656,O,Y,OO
ARDRSTN,ARDRSHB,804,O,Y,OO
ARDWCKJ,ARDWICK,181,O,Y,EL
ARDWCKJ,LNGSTN,800,O,N,GL
ARDWCKJ,LNGSTN,800,O,Y,SL
ARDWCKJ,LNGSTN,800,O,Y,FL
ARDWCKJ,MAIFDLP,650,?,N,OO
ARDWCKJ,MNCRPIC,1186,O,Y,FL
ARDWCKJ,MNCRPIC,1186,O,Y,SL
ARDWCKJ,MNCRPIC,1186,O,Y,EL
ARDWICK,ARDWCKJ,181,O,Y,EL
ARDWICK,ASHBRWJ,1046,O,Y,EL
ARDWTMD,ARDWICK,20,O,N,GL
ARGYLST,BRIDGTN,1991,O,Y,OO
ARGYLST,GLGCLL,563,O,Y,OO
ARISAIG,BEASDAL,5492,N,Y,OO
ARISCE,ARISAIG,22,?,N,OO
ARKL021,ARKLSTJ,1609,O,Y,DA
ARKL023,HLNGTNW,261,O,Y,UA
ARKL025,HLNGTNW,261,O,Y,UG
ARKLSTJ,ARKL023,1609,O,Y,UA
ARKLSTJ,ARKL025,1609,O,Y,UG
ARKLSTJ,PSLYDGL,1227,?,N,DGL
ARKLSTJ,PSLYGST,1709,O,Y,DA
ARKLSTJ,PSLYGST,1709,O,Y,DG
ARKS814,DONCMRG,2591,O,Y,ML
ARKS815,SHFTHLJ,2877,O,Y,ML
ARKSEYL,ARKS815,623,O,Y,ML
ARLSCAD,HITC708,150,O,Y,FL
ARLSCAD,HITCHIN,2574,O,Y,SL
ARLSEY,ARLSCAD,5653,O,Y,FL
ARLSEY,BIGLSWD,6638,O,Y,FL
ARLSEY,BIGLSWD,6638,O,Y,SL
ARLSEY,CDWL718,5552,O,Y,SL
ARMDALE,BLKRDGE,3749,O,Y,
ARMDALE,BTHGATE,4023,O,Y,
ARMLJCN,BRLEYPK,1871,?,Y,DH
ARMLJCN,KRKSLDL,2160,O,Y,DS
ARMLJCN,LEED615,544,O,Y,US
ARMLJCN,LEED631,103,O,Y,UH
ARMTHWT,LAZKRKO,8971,N,Y,OO
ARMTHWT,LOWHXSB,2535,?,Y,OO
ARNSIDE,GOVS,4868,N,Y,OO
